District.chr,Disabled,Seeing,Hearing,Walking,Remembering,Self care,Communication
Kampala,0.0177327422419253,0.0107663077897403,0.00189993666877771,0.00633312222925903,0.00316656111462951,0.00316656111462951,0.00253324889170361
Masaka,0.0299785867237687,0.00428265524625268,0.00428265524625268,0.0149892933618844,0.00428265524625268,0.00214132762312634,0.00428265524625268
Mukono,0.0420168067226891,0.023109243697479,0.00840336134453782,0.0126050420168067,0.00210084033613445,0.00840336134453782,0.0105042016806723
Wakiso,0.0121107266435986,0.0069204152249135,0.00346020761245675,0.00173010380622837,0,0,0
Iganga,0.0686868686868687,0.0323232323232323,0.00202020202020202,0.0262626262626263,0.0202020202020202,0.00202020202020202,0.00404040404040404
Jinja,0.0536277602523659,0.0157728706624606,0.00315457413249211,0.0347003154574132,0.0126182965299685,0.00630914826498423,0
Mbale,0.0164835164835165,0.0054945054945055,0.0054945054945055,0,0.0054945054945055,0,0.0054945054945055
Sironko,0.0072463768115942,0.0072463768115942,0,0,0,0,0
Kasese,0.0218068535825545,0,0.00934579439252336,0.00623052959501558,0.0124610591900312,0,0.00623052959501558
Mbarara,0.0175438596491228,0,0,0.0131578947368421,0.0043859649122807,0,0.0043859649122807
